,Cars,Motorbikes,Buses,Trucks,Vans,Pedestrians & cyclists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2020,279960,582,18579,21271,45633,44026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2020,308715,629,19345,22227,48099,49665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2020,310801,570,16491,13759,30859,44520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/2020,282583,558,12388,9490,21005,33495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2020,261429,548,17478,19739,40742,37492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2020,264648,606,18109,21143,43472,42446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2020,275263,661,19110,22346,46176,45560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/2020,275215,514,17921,21832,45391,41696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2020,289929,555,17940,21483,43782,42301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2020,300204,579,15631,13390,29824,41748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2020,273857,508,12272,9476,20936,35447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2020,255556,595,17728,20575,41790,42634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2020,261596,559,17451,21359,43485,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2020,263751,498,19195,23015,46915,41316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2020,258692,510,17496,21502,45099,39735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2020,290238,574,18481,22519,45356,42495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2020,302738,562,16775,14198,32513,46008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/2020,266603,628,13721,9627,23322,44079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2020,252502,574,17453,19589,40028,43963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2020,253349,519,18138,21964,43489,42771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2020,243327,414,17785,22454,44293,38285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2020,266527,581,18532,22533,46098,46598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2020,229314,247,16724,23711,40853,21271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2020,262459,381,15578,13597,29988,35046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2020,218196,223,11846,10225,21229,17986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2020,248822,508,17886,20664,41382,40664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2020,258710,566,17995,21436,44063,43557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2020,256065,473,17787,21720,44252,44534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2020,255274,481,17970,22259,44351,41668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2020,278871,551,18367,22141,45356,43978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2020,300085,546,17240,13879,31741,50278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2020,271611,587,13384,9420,21123,42645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2020,205975,429,15534,17453,34911,31651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2020,233214,371,18025,21908,42912,33401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2020,254341,500,17888,21496,43257,41919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2020,247459,457,17106,20786,42447,39745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2020,243144,506,16010,19136,39552,42665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2020,246470,558,14988,12683,28187,44190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2020,228519,546,12527,8965,20529,39920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2020,212866,488,14787,16204,32577,37340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2020,211618,454,15197,18257,35979,37189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2020,201457,290,15563,18912,34903,25111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2020,219566,467,14905,18262,36614,36869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2020,231088,524,15778,18718,38053,39386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2020,225240,366,13959,13098,27404,33636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2020,223848,416,11554,8900,19117,30606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2020,213700,431,14945,16187,32614,35411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2020,201262,394,15126,18261,34226,27377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2020,211328,397,15309,18057,35429,32554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2020,211925,367,15692,18691,36011,28325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2020,231196,435,16155,19552,38730,37648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2020,241760,408,14319,13379,27246,31610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020,238267,453,11770,9738,21112,33006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2020,229886,435,14896,17205,34649,35486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
