Hauteur
6,366
5,893
5,125
4,575
3,99
3,497
3,0554
3,6035
5,4452
6,5398
7,0894
6,9538
6,509
5,958
5,384
4,675
4,033
3,692
3,25225
3,2005
4,741428571
6,245666667
6,98625
7,0108
6,587666667
6,1855
5,777
4,955
4,2215
3,7015
3,414
3,051833333
3,986
5,57075
6,4878
6,7736
6,456
6,00475
5,591666667
5,0455
4,441666667
3,987666667
3,413
3,042666667
3,3987
5,1072
6,17625
6,8115
6,7735
6,3335
5,784333333
5,205
4,485
4,239666667
3,623
3,093
2,92275
4,024666667
5,625
6,3288
6,424857143
5,878
5,477
5,212
4,5465
4,12125
3,6332
3,156
2,854142857
3,742428571
5,3815
6,1585
6,471333333
6,2484
5,785333333
5,415333333
4,936
4,33125
3,6745
3,2825
2,86
2,8937
4,398857143
5,6938
5,973
5,8495
5,445
5,0925
4,765333333
4,40725
3,825
3,373666667
2,849
2,762625
3,59825
5,2386
5,796
5,8656
5,6285
5,268666667
4,9192
4,575
4,039
3,405
2,937
2,49175
2,754
4,229666667
5,223
5,2852
5,082666667
4,7108
4,58975
4,523666667
4,160666667
3,677
3,053
2,628
2,6159
3,8775
5,028666667
5,516
5,435666667
5,094
4,8925
4,7375
4,400333333
3,867333333
3,2015
2,7785
2,470833333
2,709428571
4,214833333
5,021
5,0645
4,923
4,6318
4,582
4,519333333
4,114
3,610666667
3,0555
2,677333333
2,648916667
3,96
5,0198
5,37475
5,436333333
5,139
4,893333333
4,688
4,253
3,64
3,044
2,768
2,4435
2,736857143
4,1786
5,0736
5,1804
4,984333333
4,705
4,6444
4,557
4,182
3,6764
3,0875
2,625666667
2,629375
3,7624
4,847285714
5,308333333
5,4385
5,20575
4,9825
4,849333333
4,385
3,921333333
3,1675
2,739
2,4214
2,67525
3,9758
4,846666667
5,223666667
5,1578
4,9194
4,7654
4,582
4,099
3,531
3,039333333
2,469
2,30775
3,26175
4,546
5,118
5,4582
5,381
5,044
4,666666667
4,2165
3,824
3,138
2,687666667
2,243166667
2,632
4,10725
4,8534
5,285666667
5,401
5,17575
4,9365
4,57
4,227
3,304
2,84
2,396666667
2,2866
3,5384
4,71375
5,3015
5,569
5,509166667
4,9554
4,725142857
4,21025
3,6354
3,149
2,632
2,134428571
2,782777778
4,48525
5,149857143
5,710166667
5,800833333
5,53625
5,214333333
4,741
3,983333333
3,44075
2,8185
2,373333333
2,473125
3,7932
5,022333333
5,8058
6,10525
5,947666667
5,4706
5,0258
4,32175
3,771833333
3,102833333
2,577
2,308
3,314375
4,6948
5,592
6,03025
6,051833333
5,602428571
5,0432
