Week_Ending	NSW	QLD	VIC	SA	ACT	WA	TAS
13-Dec-15	587245.55	554059.05	536929.4	574474.06	475411.57	618706.98	
20-Dec-15	747790.89	710112.72	676775.42	704305.8	597595.53	797936.76	
27-Dec-15	845445.18	884064.61	771269.31	874292.73	636491.17	959328.88	
03-Jan-16	431566.68	431555.07	399628.24	433713.11	297570.9	460829.78	
10-Jan-16	281742.33	334912.03	279525.69	309562.94	238825.03	346252.62	
17-Jan-16	327296.16	370937.39	322981.87	356423.02	274380.7	397563.41	
24-Jan-16	346811.52	393492.99	342714.68	373966.53	277694.27	404319.54	
31-Jan-16	350079.18	374898.4	331436.05	348306.83	279305.4	421173.38	
07-Feb-16	318394.89	342066.75	322841.88	329536.66	264156.57	391509.13	
14-Feb-16	338649.35	360540.01	340623.36	346294.38	295785.97	403841.53	
21-Feb-16	330933.81	363558.14	317086.17	336056.76	277072.03	391201.8	
28-Feb-16	340484.86	367297.77	325784.32	339246.29	289795	397666.62	
06-Mar-16	344791.68	365941.51	345250.53	357095.67	294323.7	432642.28	
13-Mar-16	358418.73	380340.74	379226.41	385079.49	338298.03	427290.29	
20-Mar-16	344823.02	391060.27	338006.63	355014.95	314862.17	417944.57	
27-Mar-16	413301.11	498892.33	375942.88	438821.75	338822	502028.88	
03-Apr-16	328181.38	363571.77	294858.81	299689.72	293195.83	369008.93	
10-Apr-16	329426.54	368381.11	293896.86	311574.56	299290.2	390442.13	
17-Apr-16	324459.79	363480.68	300915.32	317802.69	287867.8	377462.31	
24-Apr-16	373539.86	434973.94	345429.22	359255.38	340155.93	424025.31	
01-May-16	304737.65	379861.26	294196.25	288638.75	270752.53	341467.13	
08-May-16	329044.15	368668.46	307215.22	324094.83	293745.83	386466.12	
15-May-16	307639.24	355922	285885.91	286537.39	275597.67	357791.87	
22-May-16	321079.52	367646.65	299318.56	299738.34	288909.87	357831.16	
29-May-16	312103.7	367051.03	291650.79	295378.67	280124.53	372673.4	
05-Jun-16	304704.54	358451.02	288121.72	306051.61	287149.87	405662.52	
12-Jun-16	345560.74	355179.09	303694.11	331656.6	299509.83	344515.48	
19-Jun-16	294649.34	349621.35	271664.13	275822.95	270369.37	356872.69	
26-Jun-16	304046.91	371007.98	275294.6	286616.88	268681.6	358039.61	
03-Jul-16	341706.94	400424.78	313500.83	342533.84	318304.07	410845.11	
10-Jul-16	329785.5	389985.4	317573.41	323561.63	292790.67	386805.34	
17-Jul-16	324829.35	374583.97	300181.51	300454.59	290528.33	375919.13	
24-Jul-16	316327.02	382822.54	287130.75	303642.97	275053.53	366562.84	
31-Jul-16	318200.16	379518.88	291888.68	303848.6	287214.77	375035.96	
07-Aug-16	317704.11	378804.58	277315.26	287881	287946.63	370205.49	
14-Aug-16	329517.75	388898.96	291405.38	294656.04	285352.1	372580.69	
21-Aug-16	334093.59	388289.54	290398.52	303533.93	283734.37	374254.89	
28-Aug-16	354250.49	405543.17	328483.55	337540.43	315211.6	411127.08	
04-Sep-16	405529.07	435713.05	387167.89	388911.81	345535.3	453302.73	
11-Sep-16	320270.82	371758.74	285764.15	296511.46	284267.87	368043.62	
18-Sep-16	343321.32	407967.33	313177.79	321310.96	305363.3	422049.22	
25-Sep-16	363177.03	415237.38	331647.15	331105.71	326990.4	445733.44	
02-Oct-16	424724.77	460929.97	414410.18	392457.79	333449.6	414952.51	
09-Oct-16	330069.57	367815.53	287575.76	295343.34	290265.8	378162.03	
16-Oct-16	337083.45	380265.87	305204.6	303236.61	296788.07	395757.63	
23-Oct-16	364011.29	404667.17	341746.45	350811.74	333931.77	433803.82	
30-Oct-16	372979.68	410446.34	368619.74	350237.93	338889.47	428604.06	
06-Nov-16	380993.98	409836.43	364342.37	340201.01	328030.27	441034.24	
13-Nov-16	373971.65	405465.35	339050.17	336247.03	334758.6	425030.41	
20-Nov-16	411729.54	442562.89	382256.72	383826.49	365172.5	479306.91	
27-Nov-16	423700.45	437660.98	381771.24	400869.25	377515.23	495674.85	
04-Dec-16	505829.93	499941.09	458557.33	452258.85	459516.93	560093.78	
11-Dec-16	587262.25	543642.86	505607.99	500267.64	490805.7	642480.18	
18-Dec-16	711380.04	651573.63	622986.94	624679.32	608361.6	769833.23	
25-Dec-16	1067969.76	1046514.41	926708.15	1002019.89	858459.07	1181617.8	
01-Jan-17	468394.51	454107.28	407910.16	397945.71	336976.2	459815.28	645486.6
08-Jan-17	290767.38	316088.32	272842.59	292013.83	258398.07	340530.79	444683.8
15-Jan-17	331282.55	352147.49	295353.52	310780.67	288175.07	384566.66	466030.4
22-Jan-17	350647.41	370402.14	335315.96	357476.64	313069.9	414410.88	557873.8
29-Jan-17	411830.74	423120.72	382582.94	402097.49	357580.3	498313.2	625586.5
05-Feb-17	322925.83	347408.86	305436.69	296549.19	281818.17	364795.14	485818.3
12-Feb-17	343144.11	362142.31	325732.02	327696.92	309308.63	379010.87	508361.7
19-Feb-17	340011.88	363670.67	318070.41	318529.91	298497.47	413066.13	494453.3
26-Feb-17	340201.9	367368.08	311538.79	322410.91	308876.33	412647.28	481486.5
05-Mar-17	327466.5	358771.09	328285.34	332955.76	297812.53	449574.09	476969.9
12-Mar-17	325982.71	366919.5	368882.01	355112.16	305264.3	401821.75	514808.8
19-Mar-17	331377.08	381750.34	340872.28	335023.44	307532.87	410416.97	487375.9
26-Mar-17	335237.05	378270	328102.4	341180.34	299762.47	406273.08	514112.5
02-Apr-17	333083.09	367785.99	313751.66	321165.25	308893.57	409088.04	452991
09-Apr-17	354011.5	408240.01	331929.09	373407.1	329102.77	437874.68	510936.8
16-Apr-17	420804.02	513656.73	380778.42	457925.21	357392.2	522367.76	544640.8
23-Apr-17	327877.63	360531.71	294930.45	297611.99	291530.8	378353.25	434956.5
30-Apr-17	320888.21	408581.84	297283.16	300687.59	297115.13	387201.28	424449.3
07-May-17	317979.72	359449.86	287446.21	293440.01	309920.23	379166.03	453487.1
14-May-17	328530.57	362343.54	298379.48	319013.39	294277.87	389394.74	449528.2
21-May-17	310470.08	355850.57	280325.83	292401.94	289123.27	363619.42	406177.2
28-May-17	305481.15	359736.48	277517.34	292647.24	285092.5	352176.24	405143.2
04-Jun-17	318033.22	367157.82	275824.64	296382.32	288266.37	405815.67	411859.8
11-Jun-17	336199	350376.36	306693.66	335422.68	295728.77	338656.48	443159.2
18-Jun-17	298596.15	358590.8	278822.03	282077.08	273810.17	349262.56	372526
25-Jun-17	317129.76	381488.87	292612.42	301621.55	283078.4	350770.37	432756.5
02-Jul-17	322429.66	381636.79	296681.15	314396.37	299187.9	367074.81	436725.3
09-Jul-17	317694.9	378050.11	301328.13	317064.52	291913.97	363415.57	448352.3
16-Jul-17	326130.08	393484.45	290895.15	311993.26	291995	371020.85	455371.4
23-Jul-17	326087.16	402939.68	292870.33	317402.61	290909.67	375814.88	474694
30-Jul-17	325599.6	397779.8	295239	311711.66	303934.77	367993.59	463309
06-Aug-17	314336.17	376906.73	280951.96	298110.42	279693.33	352425.53	445881.7
